0.005,203.2
0.01,187.4
0.015,188.0
0.02,188.1
0.025,188.1
0.03,189.0
0.035,188.5
0.04,187.9
0.045,188.7
0.05,187.9
0.055,188.8
0.06,187.9
0.065,187.8
0.07,188.0
0.075,187.6
0.08,188.3
0.085,188.7
0.09,187.6
0.095,187.8
0.1,188.0
0.105,188.6
0.11,187.8
0.115,187.8
0.12,194.3
0.125,201.6
0.13,196.4
0.135,192.6
0.14,193.6
0.145,190.5
0.15,192.6
0.155,191.0
0.16,192.1
0.165,189.5
0.17,191.0
0.175,190.4
0.18,190.1
0.185,194.2
0.19,189.4
0.195,188.3
0.2,194.9
0.205,190.6
0.21,195.8
0.215,191.0
0.22,190.7
0.225,188.8
0.23,190.6
0.235,189.9
0.24,194.4
0.245,193.4
0.25,194.0
